A8,B8,C8,D8,E8,F8,G8,H8,A7,B7,C7,D7,E7,F7,G7,H7,A6,B6,C6,D6,E6,F6,G6,H6,A5,B5,C5,D5,E5,F5,G5,H5,A4,B4,C4,D4,E4,F4,G4,H4,A3,B3,C3,D3,E3,F3,G3,H3,A2,B2,C2,D2,E2,F2,G2,H2,A1,B1,C1,D1,E1,F1,G1,H1,Active Player,White Kingside Castling Right,White Queenside Castling Right,Black Kingside Castling Right,Black Queenside Castling Right,En passant Target,Halfmove Clock,Fullmove Number,Who is winning
0,0,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.727272727,0.7,0.583333333,0.583333333,1,0,1,0.545454545,0.25,0.5,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.166666667,0.857142857,0.5,0.666666667,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0,1,0,0.333333333,0.5,1,0,0,0,0,0,0,0.071729958,0.6914853
0,0,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.727272727,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.5,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.166666667,0.857142857,0.5,0.666666667,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0,1,0,0.333333333,0.5,0,0,0,0,0,0,0,0.071729958,0.644902635
0,0,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.727272727,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.5,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.166666667,0.857142857,0.5,0.666666667,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.5,0,0,0.333333333,0.5,1,0,0,0,0,0,0.011363636,0.075949367,0.709431081
0,0,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.727272727,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.166666667,0.857142857,0.5,0.666666667,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.5,0,0,0.333333333,0.5,0,0,0,0,0,0,0,0.075949367,0.675066819
0,0,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.727272727,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.5,0.857142857,0.5,0.222222222,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.5,0,0,0.333333333,0.5,1,0,0,0,0,0,0.011363636,0.080168776,0.699121802
0,0.333333333,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.545454545,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.5,0.857142857,0.5,0.222222222,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.5,0,0,0.333333333,0.5,0,0,0,0,0,0,0.022727273,0.080168776,0.671248568
0,0.333333333,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.545454545,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.5,0.454545455,0.5,0.5,0.5,0.5,0.5,0.857142857,0.5,0.222222222,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.5,0,0,0.333333333,0.5,1,0,0,0,0,0,0.034090909,0.084388186,0.741122566
0,0.333333333,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.545454545,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0.142857143,0.625,0,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,1,0.454545455,0.5,0.5,0.5,0.5,0.5,0.857142857,0.5,0.222222222,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.5,0,0,0.333333333,0.5,0,0,0,0,0,0,0,0.084388186,0.744940817
0,0.333333333,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.545454545,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.454545455,0.166666667,0.416666667,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,1,0.454545455,0.5,0.5,0.5,0.5,0.5,0.857142857,0.5,0.222222222,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.5,0,0,0.333333333,0.5,1,0,0,0,0,0,0,0.088607595,0.778923253
0,0.333333333,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.545454545,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.454545455,0.166666667,0.416666667,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.5,0.857142857,0.5,0.222222222,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.666666667,0,0,0.333333333,0.5,0,0,0,0,0,0,0.011363636,0.088607595,0.693394425
0,0.333333333,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.545454545,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.454545455,0.166666667,0.416666667,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.416666667,0.5,0.5,0.5,0.857142857,0.5,0.222222222,0.3,0.4,0.416666667,0.166666667,1,0.5,1,0.666666667,0,0,0.333333333,0.5,1,0,0,0,0,0,0,0.092827004,0.781977854
0,0.333333333,0.75,0.545454545,1,0.9,0.6,1,0,0.333333333,0.5,1,0.6,0.583333333,0.583333333,1,0,0.6,0.545454545,0.833333333,0.583333333,0.75,0.5,0,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.454545455,0.166666667,0.416666667,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.416666667,0.5,0.5,0.5,0.857142857,0.5,0.222222222,0.3,0.4,0.416666667,0.166666667,1,0.5,1,0.666666667,0,0,0.333333333,0.5,0,0,0,0,0,0,0.011363636,0.092827004,0.705231004
