A8,B8,C8,D8,E8,F8,G8,H8,A7,B7,C7,D7,E7,F7,G7,H7,A6,B6,C6,D6,E6,F6,G6,H6,A5,B5,C5,D5,E5,F5,G5,H5,A4,B4,C4,D4,E4,F4,G4,H4,A3,B3,C3,D3,E3,F3,G3,H3,A2,B2,C2,D2,E2,F2,G2,H2,A1,B1,C1,D1,E1,F1,G1,H1,Active Player,White Kingside Castling Right,White Queenside Castling Right,Black Kingside Castling Right,Black Queenside Castling Right,En passant Target,Halfmove Clock,Fullmove Number,Who is winning
0,2,3,0,0,0,0,4,0,1,0,1,-5,1,6,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,-1,0,-1,0,-1,0,-2,-2,0,-1,0,-4,-3,0,0,-6,0,-4,-1,0,0,0,0,-1,3,31,
0,2,3,0,0,0,0,4,0,1,0,1,-5,1,6,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,5,0,-1,0,0,0,-1,0,-2,-2,0,-1,0,-4,-3,0,0,-6,0,-4,1,0,0,0,0,-1,0,32,-777
0,2,3,0,0,0,0,4,0,1,0,1,-5,1,6,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,5,0,0,0,-1,0,-2,-2,0,-1,0,-4,-3,0,0,-6,0,-4,-1,0,0,0,0,-1,0,32,
0,2,3,0,0,0,0,4,0,1,0,1,-5,1,6,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,5,0,0,0,-1,0,0,-2,0,-1,0,-4,-3,0,0,-6,0,-4,1,0,0,0,0,-1,0,33,
0,2,3,0,0,0,0,4,0,1,0,1,-5,1,6,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,0,5,0,0,0,0,0,0,0,-1,0,0,-2,0,-1,0,-4,-3,0,0,-6,0,-4,-1,0,0,0,0,-1,1,33,
0,2,3,0,0,0,0,4,0,1,0,1,-5,1,6,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,0,5,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-4,-3,-2,0,-6,0,-4,1,0,0,0,0,-1,2,34,
0,2,3,0,0,0,4,0,0,1,0,1,-5,1,6,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,0,5,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-4,-3,-2,0,-6,0,-4,-1,0,0,0,0,-1,3,34,
0,2,3,0,0,0,4,0,0,1,0,1,-5,1,6,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,0,5,0,0,0,0,0,0,-4,-1,0,0,0,0,-1,0,0,-3,-2,0,-6,0,-4,1,0,0,0,0,-1,4,35,-716
0,2,3,0,0,0,4,6,0,1,0,1,-5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,0,5,0,0,0,0,0,0,-4,-1,0,0,0,0,-1,0,0,-3,-2,0,-6,0,-4,-1,0,0,0,0,-1,5,35,
0,2,3,0,0,0,4,6,0,1,0,1,-5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,-4,-1,0,0,0,-2,-1,0,0,-3,-2,0,-6,0,-4,1,0,0,0,0,-1,6,36,-431
0,2,3,0,0,0,4,6,0,1,0,1,-5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,-4,-1,0,0,0,-2,-1,0,0,-3,-2,0,-6,0,-4,-1,0,0,0,0,-1,0,36,
0,2,3,-5,0,0,4,6,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,-4,-1,0,0,0,-2,-1,0,0,-3,-2,0,-6,0,-4,1,0,0,0,0,-1,1,37,321
0,2,3,-5,0,0,4,6,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,-4,-1,0,0,0,-2,-1,0,0,-3,-2,0,-6,0,-4,-1,0,0,0,0,-1,0,37,-762
0,2,3,0,0,0,4,6,0,1,0,0,0,1,0,1,0,0,0,-5,1,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,-4,-1,0,0,0,-2,-1,0,0,-3,-2,0,-6,0,-4,1,0,0,0,0,-1,0,38,-348
0,2,3,0,0,0,4,6,0,1,0,0,0,1,0,1,0,0,0,-5,1,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,5,0,0,0,0,-1,0,0,0,0,0,0,0,0,-4,-1,0,0,0,-2,-1,0,0,-3,-2,0,-6,0,-4,-1,0,0,0,0,-1,1,38,-353
0,2,3,0,0,0,4,6,0,1,0,0,0,1,0,1,0,0,0,-5,1,0,0,0,0,-4,0,1,-1,0,0,0,1,0,0,5,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-2,-1,0,0,-3,-2,0,-6,0,-4,1,0,0,0,0,-1,2,39,203
